3.629798294683999949e+00,4.059774694168893028e+00
2.977873518239906758e+00,2.449308045398879585e+00
2.948314411910977650e+00,2.955369751768067932e+00
3.437972557983289157e+00,5.233448446356436357e+00
2.996587116808982820e+00,1.882283817150664840e+00
3.859439577271954569e+00,2.841650425535401325e+00
2.753291310679507387e+00,2.280449942342761993e+00
4.447966245998679291e+00,5.090928911714170724e+00
4.211826030123221543e+00,4.652725664995297272e+00
2.639842110473644254e+00,3.661076337367415334e+00
